stid,name,state,country,county,cwa,nwszone,timezone,elevation_ft,lat,lon,mnet_id,window_start_utc,window_end_utc,precip_in,first_report,last_report,report_type,count
KREG,Louisiana Regional Airport,LA,US,,,,America/Chicago,14.0,30.1714,-90.9404,1,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.69,2026-05-01T15:55:00-0500,2026-05-02T15:55:00-0500,precip_accum_one_hour,72
G2074,GW2074 CONVENT,LA,US,,,,America/Chicago,22.97,30.06967,-90.86883,65,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.69,2026-05-01T16:05:00-0500,2026-05-02T15:42:00-0500,precip_accum_since_local_midnight,152
KPIB,"Hattiesburg/Laurel, Hattiesburg-Laurel Regional Airport",MS,US,,,,America/Chicago,299.0,31.46667,-89.33333,1,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.68,2026-05-01T15:56:00-0500,2026-05-02T15:56:00-0500,precip_accum_one_hour,42
AT261,KE5JZM-1 Lutcher,LA,US,,,,America/Chicago,10.96,30.04367,-90.69933,65,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.68,2026-05-01T16:02:00-0500,2026-05-02T15:56:00-0500,precip_accum_since_local_midnight,1329
KHEZ,"Natchez, Hardy-Anders Field Natchez-Adams County Airport",MS,US,,,,America/Chicago,264.0,31.61593,-91.29724,1,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.67,2026-05-01T15:56:00-0500,2026-05-02T15:56:00-0500,precip_accum_one_hour,49
G6346,GW6346 LACOMBE,LA,US,,,,America/Chicago,22.97,30.35700,-89.92183,65,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.67,2026-05-01T16:00:00-0500,2026-05-02T15:45:00-0500,precip_accum_since_local_midnight,95
MAGL1,AMITE RIVER AT MAGNOLIA BRIDGE NEAR DENHAN SPRINGS 4NNW,LA,US,,,,America/Chicago,59.0,30.53472,-90.98056,106,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.66,2026-05-01T16:00:00-0500,2026-05-02T15:30:00-0500,precip_accum,94
F0324,FW0324 Thibodaux,LA,US,,,,America/Chicago,4.63,29.87333,-90.81733,65,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.66,2026-05-01T16:00:00-0500,2026-05-02T15:55:00-0500,precip_accum_since_local_midnight,287
BENL1,CATAHOULA,LA,US,,,,America/Chicago,230.0,31.50211,-92.46131,2,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.65,2026-05-01T15:43:00-0500,2026-05-02T15:43:00-0500,precip_accum,24
F4663,FW4663 Thibodaux,LA,US,,,,America/Chicago,5.61,29.77467,-90.78567,65,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.64,2026-05-01T16:00:00-0500,2026-05-02T15:45:00-0500,precip_accum_since_local_midnight,95
CWWL1,CHOCTAW BAYOU AT HWY 404 W OF WHITE CASTLE,LA,US,,,,America/Chicago,29.0,30.12639,-91.28639,106,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.64,2026-05-01T16:00:00-0500,2026-05-02T15:45:00-0500,precip_accum,95
C2220,CW2220 Kaplan,LA,US,,,,America/Chicago,16.4,30.00720,-92.29422,65,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.64,2026-05-01T16:00:00-0500,2026-05-02T15:45:00-0500,precip_accum_since_local_midnight,95
MPAM6,PIKE,MS,US,,,,America/Chicago,366.0,31.186940,-90.478060,2,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.63,2026-05-01T16:09:00-0500,2026-05-02T15:09:00-0500,precip_accum,23
F0278,FW0278 Summit,MS,US,,,,America/Chicago,383.56,31.26650,-90.52733,65,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.63,2026-05-01T16:00:00-0500,2026-05-02T15:45:00-0500,precip_accum_since_local_midnight,96
BDEM6,BUDE,MS,US,,,,America/Chicago,447.0,31.410560,-90.846670,2,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.63,2026-05-01T16:05:00-0500,2026-05-02T15:05:00-0500,precip_accum,23
AU084,N5PA Ellisville,MS,US,,,,America/Chicago,269.03,31.62283,-89.23383,65,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.63,2026-05-01T16:00:00-0500,2026-05-02T15:50:00-0500,precip_accum_since_local_midnight,285
MCOL1,MUDDY CREEK NEAR OAK GROVE 2ENE,LA,US,,,,America/Chicago,32.0,30.32056,-90.95417,106,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.62,2026-05-01T16:00:00-0500,2026-05-02T15:30:00-0500,precip_accum,91
F1193,FW1193 St. Gabriel,LA,US,,,,America/Chicago,16.0,30.30833,-91.101,65,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.62,2026-05-01T16:04:00-0500,2026-05-02T15:53:00-0500,precip_accum_since_local_midnight,274
K1R7,Brookhaven-Lincoln County Airport,MS,US,,,,America/Chicago,489.0,31.60580,-90.40930,1,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.61,2026-05-01T15:55:00-0500,2026-05-02T15:55:00-0500,precip_accum_one_hour,71
RHCM6,COVINGTON,MS,US,,,,America/Chicago,290.0,31.749720,-89.516390,2,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.6,2026-05-01T16:09:00-0500,2026-05-02T15:09:00-0500,precip_accum,23
C2378,CW2378 New Orleans,LA,US,,,,America/Chicago,7.0,29.96883,-90.218,65,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.6,2026-05-01T16:05:00-0500,2026-05-02T15:54:00-0500,precip_accum_since_local_midnight,239
F9742,FW9742 Paulina,LA,US,,,,America/Chicago,10.01,30.03800,-90.74150,65,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.58,2026-05-01T16:01:00-0500,2026-05-02T15:55:00-0500,precip_accum_since_local_midnight,283
LM012,ULM_JENA,LA,US,,,,America/Chicago,211.0,31.66897,-92.15916,313,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.57,2026-05-01T16:00:00-0500,2026-05-02T15:45:00-0500,precip_accum_since_local_midnight,285
K0R4,Vidalia Concordia Parish,LA,US,,,,America/Chicago,54.0,31.5620,-91.5065,1,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.57,2026-05-01T15:55:00-0500,2026-05-02T15:35:00-0500,precip_accum_one_hour,69
F5866,FW5866 Duson,LA,US,,,,America/Chicago,24.9,30.16483,-92.12017,65,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.57,2026-05-01T16:00:00-0500,2026-05-02T15:45:00-0500,precip_accum_since_local_midnight,95
K0R0,Columbia-Marion County Airport,MS,US,,,,America/Chicago,265.0,31.2970,-89.8128,1,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.55,2026-05-01T15:55:00-0500,2026-05-02T15:35:00-0500,precip_accum_one_hour,71
E3364,EW3364 Belle Chasse,LA,US,,,,America/Chicago,-0.53,29.85967,-89.99183,65,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.55,2026-05-01T16:00:00-0500,2026-05-02T15:45:00-0500,precip_accum_since_local_midnight,95
F7862,FW7862 Mandeville,LA,US,,,,America/Chicago,20.47,30.37933,-90.02150,65,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.54,2026-05-01T16:04:00-0500,2026-05-02T15:48:00-0500,precip_accum_since_local_midnight,281
C7580,CW7580 Gramercy,LA,US,,,,America/Chicago,8.63,30.06333,-90.69917,65,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.53,2026-05-01T16:01:00-0500,2026-05-02T15:55:00-0500,precip_accum_since_local_midnight,289
K1R8,Bay Minette Municipal Airport,AL,US,,,,America/Chicago,248.0,30.87033,-87.81933,1,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.51,2026-05-01T15:55:00-0500,2026-05-02T15:35:00-0500,precip_accum_one_hour,62
E7714,EW7714 Mobile,AL,US,,,,America/Chicago,183.33,30.68550,-88.27967,65,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.43,2026-05-01T16:01:00-0500,2026-05-02T15:50:00-0500,precip_accum_since_local_midnight,211
D5349,DW5349 New Orleans,LA,US,,,,America/Chicago,3.54,30.004,-90.048,65,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.43,2026-05-01T15:53:00-0500,2026-05-02T15:45:00-0500,precip_accum_since_local_midnight,57
D7368,DW7368 Pecan Island,LA,US,,,,America/Chicago,3.0,29.64983,-92.4195,65,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,0.38,2026-05-01T16:00:00-0500,2026-05-02T15:45:00-0500,precip_accum_since_local_midnight,95
